WiFi1,WiFi2,WiFi3,WiFi4,WiFi5,WiFi6,WiFi7,Room,RegressionTarget
-59,-60,-57,-62,-67,-80,-84,1,-3794.9411143560415
-60,-57,-55,-66,-69,-82,-89,1,-3970.1444163414308
-61,-55,-63,-64,-69,-83,-82,1,-3829.968162710348
-61,-60,-57,-61,-74,-81,-82,1,-3769.9479672037223
-65,-60,-60,-62,-75,-83,-79,1,-3770.1075641131515
-65,-56,-65,-63,-68,-82,-93,1,-4045.117688344367
-63,-60,-69,-65,-71,-85,-86,1,-3960.0382861620083
-62,-57,-60,-65,-72,-83,-87,1,-3944.884992985949
-65,-60,-62,-63,-75,-85,-82,1,-3870.0896532548295
-65,-60,-62,-68,-69,-84,-89,1,-4045.117906333208
-67,-56,-62,-70,-69,-86,-84,1,-4004.9304520385704
-67,-61,-63,-64,-71,-85,-84,1,-3929.9344656609333
-71,-62,-65,-68,-83,-85,-86,1,-4030.1385460943957
-68,-64,-66,-73,-81,-86,-83,1,-4020.084226235588
-68,-63,-65,-74,-81,-84,-89,1,-4119.982754426875
-70,-64,-63,-69,-83,-85,-87,1,-4055.121366525316
-72,-63,-64,-70,-81,-85,-87,1,-4074.8257891527787
-73,-62,-66,-65,-81,-87,-89,1,-4100.17041863145
-73,-61,-65,-65,-77,-89,-90,1,-4149.919652673133
-73,-63,-65,-70,-80,-89,-93,1,-4259.979004783459
-74,-62,-66,-70,-76,-89,-87,1,-4145.1283796360385
-71,-62,-63,-69,-75,-85,-87,1,-4060.2160131000087
-71,-64,-64,-70,-78,-88,-94,1,-4254.9913186126905
-70,-64,-66,-73,-78,-87,-94,1,-4264.948182316978
-72,-62,-63,-76,-81,-84,-91,1,-4200.018495837995
-72,-59,-65,-75,-81,-84,-91,1,-4190.070617609638
-69,-59,-59,-65,-78,-86,-87,1,-4024.8382336001832
-57,-58,-65,-62,-77,-80,-87,1,-3844.94023503601
-63,-55,-62,-66,-76,-89,-85,1,-4010.041228862048
-64,-56,-69,-64,-73,-89,-85,1,-3995.0202333425386
-60,-57,-60,-66,-76,-82,-80,1,-3789.9502597999794
-64,-58,-59,-61,-70,-84,-86,1,-3910.040015540847
-62,-55,-57,-62,-70,-82,-86,1,-3879.908006321671
-65,-54,-57,-66,-70,-82,-80,1,-3815.0335738401704
-61,-56,-53,-62,-63,-84,-91,1,-4005.101653785749
-65,-56,-55,-65,-68,-85,-93,1,-4110.047635858771
-65,-55,-55,-67,-63,-82,-89,1,-4004.974983799618
-59,-57,-62,-61,-68,-80,-83,1,-3764.9071447271035
-65,-59,-65,-63,-68,-80,-83,1,-3815.1279570058464
-63,-58,-62,-71,-74,-92,-94,1,-4284.994587688176
-63,-59,-61,-62,-78,-90,-82,1,-3925.152504261026
-65,-60,-67,-66,-68,-84,-89,1,-4025.018692368129
-65,-58,-67,-67,-70,-87,-84,1,-3980.0030399815314
-65,-58,-70,-66,-71,-85,-83,1,-3919.966792171917
-65,-59,-65,-67,-89,-85,-83,1,-3929.9002547608147
-63,-58,-64,-66,-70,-81,-91,1,-4010.0120349725885
-61,-54,-56,-59,-68,-82,-83,1,-3785.1411151104494
-59,-54,-59,-59,-67,-86,-80,1,-3774.8673704844796
-62,-56,-56,-61,-68,-81,-86,1,-3854.9511574786934
-61,-51,-58,-62,-71,-80,-84,1,-3804.924529201812
-59,-54,-56,-62,-67,-81,-82,1,-3770.006871386812
-58,-54,-58,-62,-75,-81,-81,1,-3745.117825050337
-57,-53,-59,-64,-71,-80,-79,1,-3704.9078636762542
-63,-55,-62,-63,-70,-80,-75,1,-3645.1698933604166
-62,-54,-56,-64,-75,-88,-85,1,-3970.0586622109054
-62,-58,-57,-62,-72,-81,-81,1,-3764.88589222293
-62,-58,-57,-65,-68,-83,-79,1,-3784.890380573256
-65,-50,-51,-57,-70,-80,-79,1,-3675.0259019603673
-63,-48,-51,-59,-69,-77,-82,1,-3700.1203382620843
-63,-51,-50,-63,-67,-83,-79,1,-3770.067617168519
-61,-53,-54,-58,-71,-82,-86,1,-3835.0367436660945
-56,-53,-58,-64,-71,-84,-87,1,-3920.0505992602834
-58,-54,-62,-66,-76,-83,-86,1,-3914.966718141748
-62,-60,-64,-74,-76,-81,-91,1,-4085.1063503934893
-64,-59,-68,-67,-74,-82,-82,1,-3859.923024073112
-66,-59,-70,-69,-76,-87,-89,1,-4105.025354854427
-64,-59,-65,-64,-74,-88,-90,1,-4080.223561989743
-64,-54,-65,-63,-71,-85,-89,1,-4004.940351401519
-63,-57,-65,-71,-75,-82,-86,1,-3974.974926610099
-62,-56,-64,-69,-75,-81,-84,1,-3895.0819188880055
-63,-58,-65,-66,-78,-81,-88,1,-3950.0508241456937
-63,-58,-65,-66,-73,-86,-89,1,-4045.041872114833
-65,-60,-65,-66,-73,-84,-93,1,-4104.959237680018
-63,-58,-64,-67,-74,-87,-87,1,-4030.25442236274
-64,-59,-66,-63,-74,-87,-87,1,-3995.005477003199
-64,-54,-56,-65,-74,-85,-87,1,-3985.00279361878
-62,-55,-63,-61,-68,-81,-83,1,-3795.0476104056575
-60,-54,-57,-66,-64,-81,-83,1,-3835.090218644442
-59,-55,-65,-62,-62,-81,-77,1,-3670.152487025595
-63,-52,-56,-59,-66,-80,-80,1,-3704.9951533753256
-60,-59,-58,-63,-72,-82,-79,1,-3740.1349837785065
-62,-55,-61,-60,-63,-84,-80,1,-3769.88648039741
-62,-51,-58,-61,-63,-77,-80,1,-3674.785053741059
-56,-50,-56,-62,-61,-79,-85,1,-3785.1526928694366
-62,-51,-53,-60,-67,-78,-85,1,-3779.8528747681703
-58,-55,-58,-61,-67,-78,-80,1,-3670.019399273069
-60,-53,-60,-62,-73,-81,-82,1,-3774.857323183578
-60,-53,-59,-64,-70,-80,-90,1,-3939.932356126074
-60,-56,-58,-65,-70,-80,-87,1,-3890.1203407482485
-59,-54,-59,-64,-74,-80,-81,1,-3754.9190671650395
-62,-55,-58,-68,-69,-83,-88,1,-3995.014690578118
-62,-58,-59,-66,-68,-87,-88,1,-4035.002103705744
-63,-58,-56,-66,-73,-87,-83,1,-3939.9679720923286
-56,-47,-56,-61,-67,-78,-88,1,-3820.0861227604555
-62,-51,-54,-59,-64,-77,-81,1,-3675.0713315751063
-62,-51,-61,-71,-67,-79,-80,1,-3805.109511178961
-58,-54,-58,-58,-67,-84,-88,1,-3890.1066083644687
-57,-54,-56,-56,-68,-79,-82,1,-3669.9822808485687
-56,-54,-58,-62,-68,-77,-81,1,-3675.041521296463
-60,-58,-62,-61,-62,-81,-84,1,-3804.844384100813
-60,-55,-58,-57,-75,-74,-82,1,-3619.9719200912314
-61,-56,-57,-56,-75,-74,-81,1,-3595.210494225362
-58,-55,-59,-58,-72,-77,-81,1,-3644.9909398614463
-59,-49,-53,-59,-62,-81,-83,1,-3760.0455405601624
-60,-52,-51,-59,-73,-79,-81,1,-3695.0360109267963
-57,-56,-56,-61,-70,-77,-77,1,-3589.9833684740606
-57,-57,-59,-61,-67,-80,-83,1,-3755.018731048478
-62,-50,-61,-64,-73,-80,-81,1,-3769.7920049764675
-62,-54,-62,-68,-80,-80,-78,1,-3750.0681561286638
-63,-57,-63,-64,-73,-86,-81,1,-3864.9769250267973
-62,-57,-54,-66,-71,-81,-83,1,-3845.261934006328
-61,-55,-59,-58,-66,-79,-78,1,-3630.1231405800654
-60,-59,-56,-63,-64,-82,-81,1,-3779.9942138043184
-56,-53,-64,-61,-72,-84,-81,1,-3769.9376249115753
-57,-53,-56,-58,-68,-75,-80,1,-3589.930297639693
-60,-55,-60,-59,-67,-81,-87,1,-3844.882903154643
-62,-56,-57,-63,-69,-87,-91,1,-4064.919909042394
-58,-59,-56,-64,-68,-82,-87,1,-3900.046909792329
-63,-56,-61,-61,-68,-83,-87,1,-3910.060462633707
-64,-57,-63,-59,-69,-82,-86,1,-3859.9077844287754
-64,-61,-62,-65,-70,-85,-87,1,-3985.0530996888087
-61,-58,-60,-61,-74,-78,-83,1,-3745.014024441755
-65,-56,-63,-66,-80,-83,-88,1,-3989.92673333067
-62,-56,-63,-66,-74,-82,-80,1,-3800.182478583734
-62,-49,-59,-63,-62,-80,-79,1,-3720.058524901335
-58,-54,-52,-61,-74,-75,-82,1,-3664.961408449202
-62,-52,-57,-60,-70,-81,-74,1,-3604.842340856701
-65,-53,-53,-57,-64,-87,-80,1,-3799.9807921534066
-59,-51,-58,-57,-64,-76,-85,1,-3704.827861993895
-57,-54,-59,-63,-65,-80,-80,1,-3715.0388668363134
-62,-50,-57,-59,-72,-82,-84,1,-3809.9171662287254
-56,-51,-62,-62,-71,-77,-82,1,-3695.0258103624496
-57,-56,-58,-58,-66,-85,-80,1,-3739.972873456173
-58,-54,-61,-59,-68,-78,-76,1,-3570.01380112732
-62,-56,-61,-65,-74,-78,-76,1,-3649.8834437688834
-60,-54,-61,-65,-70,-82,-88,1,-3939.9941013786683
-62,-63,-62,-65,-68,-87,-86,1,-3985.003924431853
-62,-57,-61,-64,-68,-82,-82,1,-3820.0424394821616
-60,-58,-57,-65,-69,-80,-89,1,-3930.0564193305167
-62,-56,-59,-68,-74,-95,-84,1,-4095.039839809471
-60,-53,-59,-64,-65,-76,-81,1,-3699.9761430620315
-60,-54,-57,-60,-66,-80,-88,1,-3860.070309801171
-59,-55,-61,-65,-68,-84,-84,1,-3885.0279900313776
-58,-49,-55,-60,-70,-78,-80,1,-3659.9986201005963
-62,-49,-56,-63,-67,-78,-80,1,-3709.9899841259275
-63,-48,-54,-65,-67,-82,-80,1,-3795.034931311792
-57,-56,-54,-69,-75,-83,-81,1,-3840.1658529560596
-62,-55,-59,-63,-72,-76,-87,1,-3819.8212721845553
-61,-50,-59,-67,-65,-79,-86,1,-3879.990753830686
-66,-56,-54,-69,-65,-82,-82,1,-3890.0792012471607
-63,-54,-55,-67,-71,-82,-87,1,-3955.101775699003
-60,-57,-58,-64,-70,-84,-79,1,-3779.929852436144
-61,-56,-58,-67,-68,-80,-81,1,-3794.886318068536
-61,-62,-64,-65,-73,-81,-90,1,-3969.9123522201703
-66,-58,-58,-68,-73,-85,-78,1,-3844.9900701416896
-66,-56,-57,-66,-73,-84,-87,1,-3990.0693175741944
-63,-54,-55,-64,-72,-84,-81,1,-3835.0221473575157
-58,-53,-58,-64,-73,-82,-82,1,-3800.065893103493
-58,-48,-59,-59,-64,-84,-77,1,-3679.831981537072
-56,-55,-59,-68,-74,-84,-79,1,-3800.039791344095
-59,-54,-63,-72,-75,-81,-78,1,-3790.0258810567357
-58,-56,-61,-66,-75,-84,-78,1,-3770.0204211754926
-61,-54,-57,-67,-67,-82,-84,1,-3884.961090087133
-62,-56,-67,-63,-68,-82,-86,1,-3890.0464022607043
-59,-54,-56,-65,-74,-79,-85,1,-3829.7633435733264
-58,-59,-59,-65,-65,-82,-94,1,-4049.9097222176015
-63,-54,-61,-66,-73,-84,-88,1,-3995.1331362975593
-63,-57,-58,-62,-73,-86,-85,1,-3924.8916155625043
-64,-52,-63,-62,-71,-84,-79,1,-3780.030559679141
-62,-57,-58,-65,-71,-87,-86,1,-3985.0119099747676
-57,-56,-60,-58,-70,-79,-84,1,-3730.045877516429
-57,-54,-57,-61,-62,-80,-79,1,-3674.746577789599
-63,-59,-65,-62,-65,-83,-80,1,-3780.015385131005
-62,-59,-61,-59,-69,-82,-83,1,-3790.005018290116
-56,-56,-62,-64,-70,-79,-86,1,-3825.083237826404
-57,-52,-60,-61,-66,-81,-85,1,-3809.9801307885377
-59,-55,-58,-61,-67,-77,-79,1,-3639.993317157285
-57,-56,-59,-59,-64,-79,-78,1,-3619.8357325429306
-58,-58,-61,-59,-69,-81,-80,1,-3694.9886105429573
-62,-58,-57,-58,-69,-94,-77,1,-3839.9444097980495
-59,-60,-60,-62,-67,-94,-77,1,-3865.034459547369
-62,-55,-58,-62,-67,-81,-77,1,-3685.1307852850573
-59,-54,-60,-60,-66,-83,-78,1,-3699.8805200991233
-63,-55,-63,-62,-68,-89,-85,1,-3969.933587320934
-63,-59,-61,-61,-66,-79,-80,1,-3710.15252538491
-59,-57,-59,-64,-73,-79,-84,1,-3800.1868219601556
-62,-53,-61,-59,-74,-84,-81,1,-3780.074590810007
-58,-51,-59,-65,-74,-86,-82,1,-3870.1198579754036
-60,-55,-58,-61,-72,-83,-82,1,-3794.935111844881
-63,-57,-57,-65,-75,-83,-76,1,-3729.869870724509
-64,-57,-56,-63,-68,-85,-81,1,-3845.0271277170236
-59,-57,-63,-66,-65,-82,-78,1,-3745.04951629113
-63,-60,-58,-64,-66,-83,-90,1,-3999.887085561084
-65,-56,-60,-66,-74,-89,-90,1,-4120.046653423846
-61,-56,-63,-62,-73,-87,-91,1,-4049.908459662258
-62,-59,-61,-66,-75,-86,-80,1,-3860.0696882695092
-63,-52,-61,-64,-75,-80,-83,1,-3815.044880062268
-58,-51,-59,-63,-69,-81,-80,1,-3735.085722787903
-61,-56,-65,-65,-66,-77,-81,1,-3729.85207815275
-61,-56,-62,-67,-66,-81,-88,1,-3950.046338040939
-59,-55,-63,-67,-66,-82,-86,1,-3915.0696279701665
-62,-55,-65,-59,-69,-86,-87,1,-3929.9049790489553
-61,-54,-64,-59,-68,-86,-88,1,-3944.844816809237
-61,-56,-65,-59,-68,-86,-88,1,-3945.0726414892406
-61,-57,-65,-59,-67,-86,-87,1,-3924.8181455454346
-60,-57,-66,-60,-68,-87,-89,1,-3985.0678259116066
-61,-59,-63,-60,-69,-87,-88,1,-3970.1584901515553
-63,-58,-66,-63,-68,-87,-83,1,-3910.028062560167
-63,-57,-59,-66,-71,-82,-83,1,-3865.0161186920045
-59,-52,-61,-61,-76,-75,-78,1,-3589.9103969690277
-65,-62,-60,-65,-68,-83,-82,1,-3859.975356545919
-66,-53,-58,-63,-69,-81,-80,1,-3774.9365037822517
-66,-53,-59,-62,-69,-81,-79,1,-3744.8700675170653
-60,-56,-62,-61,-69,-82,-81,1,-3759.848352947993
-56,-50,-58,-63,-68,-83,-83,1,-3815.1682778390773
-59,-59,-58,-62,-64,-78,-81,1,-3704.994469481892
-60,-57,-58,-66,-65,-77,-80,1,-3714.9498152446126
-59,-56,-58,-68,-62,-80,-81,1,-3794.981217284199
-59,-54,-57,-65,-62,-80,-82,1,-3785.0298839398897
-58,-53,-61,-62,-64,-78,-81,1,-3700.1334811472952
-59,-60,-61,-66,-66,-81,-85,1,-3870.0154080624197
-56,-58,-60,-59,-66,-80,-77,1,-3610.0201670290603
-57,-59,-58,-66,-67,-78,-82,1,-3755.0256592495543
-62,-53,-58,-65,-67,-82,-84,1,-3870.134620001097
-60,-59,-61,-62,-68,-81,-85,1,-3835.0712140998526
-61,-57,-63,-67,-72,-77,-82,1,-3770.0871239016046
-61,-55,-62,-62,-65,-82,-81,1,-3775.1727562761635
-57,-55,-58,-64,-65,-87,-79,1,-3810.0060936664304
-61,-52,-54,-63,-64,-84,-82,1,-3834.8813268101326
-61,-54,-54,-67,-60,-81,-83,1,-3849.8533563940396
-59,-57,-53,-61,-63,-79,-87,1,-3829.9885139004045
-62,-54,-55,-61,-63,-84,-81,1,-3800.0895883979174
-62,-54,-58,-64,-65,-77,-85,1,-3805.059566715672
-59,-54,-58,-59,-63,-81,-80,1,-3700.0572815364426
-58,-55,-58,-61,-64,-81,-84,1,-3794.8842998066175
-61,-54,-64,-63,-68,-83,-81,1,-3799.9392767005447
-62,-57,-61,-63,-65,-83,-82,1,-3824.933256254268
-67,-56,-65,-68,-69,-83,-82,1,-3899.9621277215847
-63,-57,-60,-64,-72,-80,-78,1,-3715.0144036401107
-62,-57,-63,-67,-66,-87,-80,1,-3884.967317071406
-63,-57,-66,-66,-68,-83,-81,1,-3840.0992771872843
-62,-57,-59,-72,-73,-86,-82,1,-3959.8460554212725
-64,-66,-54,-67,-70,-83,-82,1,-3874.932957134389
-62,-63,-57,-69,-71,-82,-82,1,-3869.917636187954
-64,-64,-58,-75,-68,-82,-80,1,-3899.9954854668767
-64,-62,-57,-69,-67,-77,-81,1,-3784.9667486240196
-63,-63,-57,-68,-71,-79,-82,1,-3819.87961199116
-61,-55,-58,-67,-69,-84,-86,1,-3954.9999602681364
-65,-51,-59,-61,-66,-81,-84,1,-3829.947524776016
-61,-58,-60,-64,-73,-81,-82,1,-3799.9164800331473
-64,-55,-62,-66,-65,-85,-81,1,-3875.005208405983
-62,-59,-59,-64,-65,-80,-81,1,-3769.9642827168855
-59,-55,-56,-64,-69,-83,-84,1,-3859.9492899629404
-64,-56,-60,-61,-67,-78,-85,1,-3800.0204202376144
-60,-56,-56,-64,-67,-84,-85,1,-3900.0695630531573
-58,-54,-59,-62,-68,-79,-87,1,-3834.920072005957
-59,-52,-61,-57,-69,-83,-78,1,-3669.9124134836416
-56,-55,-56,-59,-64,-83,-83,1,-3775.090712310122
-60,-56,-56,-63,-65,-80,-83,1,-3789.99329811896
-59,-53,-64,-60,-68,-82,-81,1,-3744.932693835454
-58,-52,-64,-64,-66,-88,-83,1,-3909.908237258323
-59,-51,-64,-57,-69,-80,-80,1,-3664.9811879251038
-58,-50,-59,-58,-68,-80,-81,1,-3690.125018618907
-61,-53,-53,-61,-63,-77,-81,1,-3690.0251167398246
-58,-50,-55,-54,-61,-84,-87,1,-3830.2319439286716
-60,-58,-56,-65,-68,-79,-86,1,-3854.899845049479
-62,-56,-59,-58,-67,-78,-79,1,-3640.0371822572706
-62,-59,-62,-60,-68,-80,-89,1,-3890.038225287066
-61,-58,-64,-61,-64,-78,-82,1,-3724.986320932717
-61,-59,-62,-61,-66,-80,-88,1,-3875.2022352960716
-60,-51,-59,-63,-68,-81,-76,1,-3665.025660249367
-60,-58,-57,-59,-66,-82,-83,1,-3780.0790796686115
-61,-54,-60,-62,-66,-79,-85,1,-3810.047842540337
-59,-54,-60,-65,-66,-80,-90,1,-3945.0681751929264
-61,-59,-62,-65,-66,-81,-83,1,-3830.080663558469
-61,-56,-61,-74,-69,-87,-89,1,-4130.043544310536
-66,-55,-60,-69,-66,-85,-87,1,-4034.8196234148213
-64,-58,-60,-68,-66,-86,-88,1,-4049.962187599801
-66,-58,-64,-67,-71,-85,-87,1,-4014.796685189759
-62,-59,-62,-63,-65,-87,-87,1,-3984.9876756186086
-60,-56,-59,-66,-68,-81,-83,1,-3835.1917450562723
-59,-53,-58,-66,-65,-82,-78,1,-3745.0385392958465
-62,-54,-60,-61,-71,-86,-80,1,-3809.970496911612
-61,-59,-54,-65,-66,-81,-89,1,-3949.8619856042055
-62,-57,-58,-63,-70,-85,-86,1,-3934.973412230322
-63,-59,-57,-65,-69,-80,-86,1,-3885.0497275776816
-67,-61,-63,-65,-71,-81,-87,1,-3940.09525839706
-64,-55,-60,-74,-66,-87,-87,1,-4104.942285879033
-65,-57,-62,-70,-67,-85,-87,1,-4039.958050088831
-64,-57,-60,-70,-69,-86,-83,1,-3969.848187929097
-65,-58,-61,-71,-69,-87,-83,1,-4000.0069670541843
-64,-56,-61,-73,-66,-88,-83,1,-4029.995913415718
-62,-57,-60,-64,-67,-80,-88,1,-3909.9515088840735
-60,-53,-60,-67,-64,-81,-79,1,-3765.0322146174913
-61,-60,-60,-65,-67,-82,-78,1,-3744.8593437950562
-63,-58,-62,-65,-68,-81,-74,1,-3660.1085778256065
-59,-56,-61,-66,-71,-83,-82,1,-3839.9737834822463
-63,-59,-61,-68,-71,-81,-87,1,-3949.9639685032535
-63,-58,-61,-67,-69,-86,-85,1,-3975.109995629629
-64,-56,-58,-71,-69,-88,-84,1,-4029.905233816463
-68,-51,-59,-67,-65,-80,-87,1,-3949.901247329235
-63,-57,-63,-64,-67,-81,-83,1,-3830.10909506036
-66,-57,-64,-61,-69,-82,-88,1,-3930.022775683239
-64,-57,-60,-60,-65,-80,-91,1,-3940.2089246620853
-58,-50,-61,-68,-64,-85,-91,1,-4064.9339356851738
-59,-58,-62,-67,-65,-80,-83,1,-3825.097656806533
-63,-61,-61,-63,-68,-82,-83,1,-3834.964269494077
-65,-58,-61,-62,-71,-81,-86,1,-3879.8348579485764
-63,-59,-60,-65,-69,-81,-84,1,-3859.806531154376
-65,-59,-61,-67,-70,-80,-83,1,-3855.076756945964
-66,-57,-59,-64,-69,-82,-84,1,-3879.961182255378
-62,-57,-60,-61,-69,-93,-90,1,-4114.927457977702
-63,-58,-58,-64,-66,-81,-83,1,-3829.9687087568095
-62,-58,-58,-63,-68,-82,-84,1,-3850.0494321301294
-62,-56,-57,-64,-65,-85,-83,1,-3885.051565217784
-62,-57,-56,-63,-66,-84,-82,1,-3840.018948496466
-62,-55,-54,-62,-69,-79,-81,1,-3735.059926321437
-62,-53,-59,-62,-66,-82,-87,1,-3900.0836140034767
-65,-56,-62,-62,-68,-83,-90,1,-3989.920213626848
-65,-54,-60,-64,-65,-87,-82,1,-3909.998957297138
-60,-53,-60,-61,-69,-81,-83,1,-3784.8332564152674
-59,-56,-62,-59,-67,-75,-78,1,-3570.2679570683085
-61,-52,-60,-61,-68,-80,-84,1,-3794.962607748303
-64,-60,-63,-63,-72,-86,-84,1,-3920.148515726462
-62,-51,-58,-65,-72,-80,-88,1,-3920.161502685992
-60,-54,-56,-64,-70,-78,-80,1,-3710.1903394411634
-62,-53,-62,-64,-68,-79,-82,1,-3775.0932914186837
-63,-51,-57,-60,-66,-79,-82,1,-3739.8913809011915
-63,-51,-58,-63,-68,-81,-87,1,-3900.0072569147846
-66,-52,-63,-63,-68,-80,-87,1,-3900.050144415427
-62,-58,-59,-59,-67,-80,-77,1,-3640.1544437320035
-62,-56,-61,-63,-65,-83,-89,1,-3964.9521506507735
-61,-51,-60,-63,-66,-82,-87,1,-3904.996800321206
-62,-53,-64,-65,-69,-85,-85,1,-3935.1009141427767
-64,-55,-54,-64,-68,-89,-81,1,-3915.025847334936
-65,-54,-56,-64,-66,-79,-81,1,-3770.032271985312
-66,-56,-59,-62,-67,-80,-78,1,-3709.8680398851398
-60,-62,-66,-66,-71,-84,-85,1,-3919.922773169546
-62,-64,-62,-65,-75,-82,-86,1,-3910.001268218744
-61,-56,-63,-77,-67,-82,-96,1,-4224.854995875425
-64,-52,-59,-59,-66,-86,-87,1,-3939.911985476861
-60,-54,-59,-65,-66,-83,-84,1,-3874.863076482505
-61,-58,-58,-62,-66,-81,-81,1,-3760.1346201666543
-62,-54,-60,-61,-70,-79,-81,1,-3724.9268021359103
-61,-57,-59,-62,-69,-78,-83,1,-3755.090834095571
-64,-57,-63,-59,-68,-82,-83,1,-3800.014942471377
-63,-57,-66,-63,-68,-82,-82,1,-3815.16938909992
-58,-57,-66,-61,-68,-85,-83,1,-3835.07550139557
-61,-56,-67,-61,-69,-82,-87,1,-3884.96118807072
-60,-56,-67,-62,-69,-82,-86,1,-3869.9222286506256
-61,-56,-66,-65,-71,-85,-88,1,-3989.9971846255967
-60,-57,-66,-64,-70,-84,-88,1,-3960.1910921856606
